group: thresh_pba_dfs
root: dow_jones
desc: fth thresh


debug: s
                           pba_oc_return_fth_of_xact  \
2005-03-18 15:00:00+00:00                   0.018410   
2005-03-18 16:00:00+00:00                  -0.027094   
2005-03-18 17:00:00+00:00                   0.008439   
2005-03-18 18:00:00+00:00                   0.010879   
2005-03-18 19:00:00+00:00                   0.002483   
2005-03-18 20:00:00+00:00                  -0.019950   
2005-03-18 21:00:00+00:00                   0.004237   
2005-03-21 14:00:00+00:00                   0.014015   
2005-03-21 15:00:00+00:00                   0.028432   
2005-03-21 16:00:00+00:00                  -0.000790   
2005-03-21 17:00:00+00:00                  -0.024584   
2005-03-21 18:00:00+00:00                   0.025995   
2005-03-21 19:00:00+00:00                  -0.002375   
2005-03-21 20:00:00+00:00                   0.000791   
2005-03-21 21:00:00+00:00                   0.011050   
2005-03-22 14:00:00+00:00                  -0.000795   
2005-03-22 15:00:00+00:00                  -0.016706   
2005-03-22 16:00:00+00:00                  -0.001621   
2005-03-22 17:00:00+00:00                   0.002443   

                           vol_lh_return_fth_of_xact  \
id                                                     
2005-03-18 14:00:00+00:00                   0.014298   
2005-03-18 15:00:00+00:00                   0.030354   
2005-03-18 16:00:00+00:00                   0.033870   
2005-03-18 17:00:00+00:00                   0.015203   
2005-03-18 18:00:00+00:00                   0.039363   
2005-03-18 19:00:00+00:00                   0.022746   
2005-03-18 20:00:00+00:00                   0.042808   
2005-03-18 21:00:00+00:00                   0.020478   
2005-03-21 14:00:00+00:00                   0.033997   
2005-03-21 15:00:00+00:00                   0.034258   
2005-03-21 16:00:00+00:00                   0.010317   
2005-03-21 17:00:00+00:00                   0.029316   
2005-03-21 18:00:00+00:00                   0.029316   
2005-03-21 19:00:00+00:00                   0.023866   
2005-03-21 20:00:00+00:00                   0.016840   
2005-03-21 21:00:00+00:00                   0.012628   
2005-03-22 14:00:00+00:00                   0.020934   
2005-03-22 15:00:00+00:00                   0.031122   
2005-03-22 16:00:00+00:00                   0.020425   
2005-03-22 17:00:00+00:00                   0.008980   

                           vol_oa_return_fth_of_xact  
id                                                    
2005-03-18 14:00:00+00:00                  -0.002504  
2005-03-18 15:00:00+00:00                   0.004946  
2005-03-18 16:00:00+00:00                  -0.018498  
2005-03-18 17:00:00+00:00                   0.003797  
2005-03-18 18:00:00+00:00                   0.012787  
2005-03-18 19:00:00+00:00                  -0.006068  
2005-03-18 20:00:00+00:00                  -0.004979  
2005-03-18 21:00:00+00:00                   0.001525  
2005-03-21 14:00:00+00:00                   0.015837  
2005-03-21 15:00:00+00:00                   0.013777  
2005-03-21 16:00:00+00:00                   0.000150  
2005-03-21 17:00:00+00:00                  -0.013933  
2005-03-21 18:00:00+00:00                   0.016028  
2005-03-21 19:00:00+00:00                   0.003056  
2005-03-21 20:00:00+00:00                  -0.003845  
2005-03-21 21:00:00+00:00                   0.008895  
2005-03-22 14:00:00+00:00                  -0.000827  
