group: thresh_pba_dzn_normalize
root: dow_jones
desc: thresh_dzn


debug: s
                           pba_oc_return_fth_of_xact  \
1998-01-02 16:00:00+00:00                  -0.010579  
1998-01-02 17:00:00+00:00                  -0.010562  
1998-01-02 18:00:00+00:00                  -0.010594  
1998-01-02 19:00:00+00:00                  -0.010527  
1998-01-02 20:00:00+00:00                  -0.010114  
1998-01-02 21:00:00+00:00                  -0.010582  
1998-01-05 14:00:00+00:00                  -0.010485  
1998-01-05 15:00:00+00:00                  -0.010407  
1998-01-05 16:00:00+00:00                  -0.010465  
1998-01-05 17:00:00+00:00                  -0.010551  
1998-01-05 18:00:00+00:00                  -0.010353  
1998-01-05 19:00:00+00:00                  -0.010366  
1998-01-05 20:00:00+00:00                  -0.010487  
1998-01-05 21:00:00+00:00                  -0.010594  
1998-01-06 14:00:00+00:00                  -0.009935  
1998-01-06 15:00:00+00:00                  -0.010539  
1998-01-06 16:00:00+00:00                  -0.010327  
1998-01-06 17:00:00+00:00                  -0.010527  




group: thresh_pba_dmx_normalize
root: dow_jones
desc: thresh_dmx


debug: s
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.161938   
1998-01-02 15:00:00+00:00                   0.105781   
1998-01-02 16:00:00+00:00                   0.120514   
1998-01-02 17:00:00+00:00                   0.180399   
1998-01-02 18:00:00+00:00                   0.068919   
1998-01-02 19:00:00+00:00                   0.102027   
1998-01-02 20:00:00+00:00                   0.257381   
1998-01-02 21:00:00+00:00                   0.149936   
1998-01-05 14:00:00+00:00                   0.113928   
1998-01-05 15:00:00+00:00                   0.219005   
1998-01-05 16:00:00+00:00                   0.222261   
1998-01-05 17:00:00+00:00                   0.026565   
1998-01-05 18:00:00+00:00                   0.020312   
1998-01-05 19:00:00+00:00                   0.122743   
1998-01-05 20:00:00+00:00                   0.154371   
1998-01-05 21:00:00+00:00                   0.144756   
1998-01-06 14:00:00+00:00                  -0.008542   
1998-01-06 15:00:00+00:00                   0.118328   
1998-01-06 16:00:00+00:00                   0.033461   
1998-01-06 17:00:00+00:00                   0.142719   

                           pba_oa_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.061390   
1998-01-02 15:00:00+00:00                  -0.126828   
1998-01-02 16:00:00+00:00                  -0.019763   
1998-01-02 17:00:00+00:00                   0.022109   
1998-01-02 18:00:00+00:00                  -0.077360   
1998-01-02 19:00:00+00:00                  -0.075054   
1998-01-02 20:00:00+00:00                   0.058426   
1998-01-02 21:00:00+00:00                  -0.026506   
1998-01-05 14:00:00+00:00                  -0.030305   
1998-01-05 15:00:00+00:00                   0.076350   
1998-01-05 16:00:00+00:00                   0.012428   
1998-01-05 17:00:00+00:00                  -0.140116   
1998-01-05 18:00:00+00:00                  -0.128528   
1998-01-05 19:00:00+00:00                  -0.125766   
1998-01-05 20:00:00+00:00                  -0.051331   
1998-01-05 21:00:00+00:00                  -0.025452   
1998-01-06 14:00:00+00:00                  -0.279609   
1998-01-06 15:00:00+00:00                  -0.090931   
1998-01-06 16:00:00+00:00                  -0.095806   
1998-01-06 17:00:00+00:00                  -0.032561   

                           pba_lh_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                  -0.788801  
1998-01-02 15:00:00+00:00                  -0.788058  
1998-01-02 16:00:00+00:00                  -0.915375  
1998-01-02 17:00:00+00:00                  -0.877813  
1998-01-02 18:00:00+00:00                  -0.905348  
1998-01-02 19:00:00+00:00                  -0.881285  
1998-01-02 20:00:00+00:00                  -0.766280  
1998-01-02 21:00:00+00:00                  -0.953157  
1998-01-05 14:00:00+00:00                  -0.814836  
1998-01-05 15:00:00+00:00                  -0.772842  
1998-01-05 16:00:00+00:00                  -0.812204  
1998-01-05 17:00:00+00:00                  -0.809580  
1998-01-05 18:00:00+00:00                  -0.800030  
1998-01-05 19:00:00+00:00                  -0.747568  
1998-01-05 20:00:00+00:00                  -0.755570  
1998-01-05 21:00:00+00:00                  -0.965678  
1998-01-06 14:00:00+00:00                  -0.604164  
1998-01-06 15:00:00+00:00                  -0.855111  
1998-01-06 16:00:00+00:00                  -0.842479  
1998-01-06 17:00:00+00:00                  -0.932684  


root: sp_500
desc: thresh_dmx


debug: s
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                  -0.399433   
1998-01-02 15:00:00+00:00                  -0.764915   
1998-01-02 16:00:00+00:00                  -0.645613   
1998-01-02 17:00:00+00:00                   0.006703   
